"matricula";"ano_matriculacion";"color";"num_plazas";"km";"marca";"modelo";"categoria";"tipo_combustible"
"UHY9846";"2011";"BLANCO";"5";"63632.00000";"Alfa Romeo";"145";"ECONÓMICA";"HIDRÓGENO"
"UZO8524";"2005";"BLANCO";"5";"64340.00000";"Alfa Romeo";"145";"ECONÓMICA";"HÍBRIDO"
"AET4671";"2012";"BLANCO";"5";"65415.00000";"Alfa Romeo";"145";"ECONÓMICA";"ELÉCTRICO"
"SOQ6862";"2011";"BLANCO";"7";"87298.00000";"Alfa Romeo";"147";"MONOVOLÚMENES";"HÍBRIDO"
"OQN7107";"2014";"BLANCO";"5";"23507.00000";"Alfa Romeo";"147";"MEDIANA";"HIDRÓGENO"
"MEN1810";"2017";"BLANCO";"5";"7201.00000";"Alfa Romeo";"147";"SUV";"GASOLINA"
"DKS3381";"2008";"BLANCO";"7";"25188.00000";"Alfa Romeo";"147";"MONOVOLÚMENES";"ELÉCTRICO"
"AMI3415";"2002";"BLANCO";"5";"5284.00000";"Alfa Romeo";"146";"SUV";"HÍBRIDO"
"THG4013";"2008";"BLANCO";"5";"26688.00000";"Alfa Romeo";"146";"COMPACTA";"ELÉCTRICO"
"ZWI1335";"2010";"BLANCO";"5";"83691.00000";"Alfa Romeo";"146";"FAMILIAR";"HIDRÓGENO"
"WIB3410";"2008";"BLANCO";"5";"3138.00000";"Alfa Romeo";"146";"MONOVOLÚMENES";"GLP"
"XCT5449";"2003";"BLANCO";"5";"83187.00000";"Alfa Romeo";"146";"LUJO";"GLP"
"VMX1721";"2013";"BLANCO";"5";"45415.00000";"Alfa Romeo";"Gtv";"DESCAPOTABLES";"HÍBRIDO"
"XYA3400";"2001";"BLANCO";"5";"24274.00000";"Alfa Romeo";"Gtv";"MEDIANA";"HIDRÓGENO"
"FXW6395";"2014";"BLANCO";"5";"1080.00000";"Alfa Romeo";"Gtv";"MINI";"GASOLINA"
"QKB2537";"2013";"BLANCO";"5";"67194.00000";"Alfa Romeo";"Spider";"MINI";"ELÉCTRICO"
"JGD1041";"2010";"BLANCO";"5";"7419.00000";"Alfa Romeo";"Spider";"SUV";"GASOLINA"
"GAJ8717";"2000";"BLANCO";"9";"1125.00000";"Alfa Romeo";"166";"MONOVOLÚMENES";"DIESEL"
"PPG3108";"2020";"BLANCO";"5";"22680.00000";"Alfa Romeo";"166";"MEDIANA";"GN"
"JGG5832";"2003";"BLANCO";"5";"83102.00000";"Alfa Romeo";"166";"LUJO";"GLP"
"IJU1040";"2011";"BLANCO";"5";"41107.00000";"Alfa Romeo";"166";"SUV";"GASOLINA"
"BPU1961";"2004";"BLANCO";"7";"86070.00000";"Alfa Romeo";"Crosswagon";"MONOVOLÚMENES";"HÍBRIDO"
"XIY6381";"2017";"BLANCO";"5";"85197.00000";"Alfa Romeo";"Crosswagon";"FAMILIAR";"HIDRÓGENO"
"TDJ5252";"2007";"BLANCO";"5";"46036.00000";"Alfa Romeo";"Brera";"DESCAPOTABLES";"HÍBRIDO"
"MPO0487";"2004";"BLANCO";"5";"41284.00000";"Alfa Romeo";"Brera";"SUV";"GASOLINA"
"NPI9451";"2001";"BLANCO";"5";"3200.00000";"Alfa Romeo";"90";"MINI";"GN"
"KJQ1715";"2002";"BLANCO";"5";"81780.00000";"Alfa Romeo";"90";"LUJO";"GASOLINA"
"CMD2592";"2003";"BLANCO";"5";"5635.00000";"Alfa Romeo";"90";"SUV";"HÍBRIDO"
"OSU8659";"2019";"BLANCO";"5";"20832.00000";"Alfa Romeo";"90";"FAMILIAR";"ELÉCTRICO"
"ODB8864";"2010";"BLANCO";"5";"6314.00000";"Alfa Romeo";"75";"SUV";"HÍBRIDO"
"JQC5453";"2015";"BLANCO";"5";"81383.00000";"Alfa Romeo";"75";"LUJO";"GASOLINA"
"AKY5539";"2011";"BLANCO";"5";"86925.00000";"Alfa Romeo";"75";"FAMILIAR";"ELÉCTRICO"
"VYF2465";"2018";"BLANCO";"5";"42761.00000";"Alfa Romeo";"75";"SUV";"DIESEL"
"HYV3219";"2003";"BLANCO";"5";"7232.00000";"Alfa Romeo";"75";"SUV";"ELÉCTRICO"
"SYN8511";"2012";"BLANCO";"5";"43123.00000";"Alfa Romeo";"33";"DESCAPOTABLES";"GN"
"WCX3510";"2018";"BLANCO";"7";"41777.00000";"Alfa Romeo";"Giulietta";"MONOVOLÚMENES";"GLP"
"FSA9586";"2011";"BLANCO";"5";"42227.00000";"Alfa Romeo";"Sprint";"SUV";"GASOLINA"
"VCY5676";"2015";"BLANCO";"5";"80861.00000";"Alfa Romeo";"Sprint";"DESCAPOTABLES";"ELÉCTRICO"
"EFM8353";"2004";"BLANCO";"5";"63431.00000";"Alfa Romeo";"Sprint";"COMPACTA";"GN"
"PPH5852";"2006";"BLANCO";"5";"22523.00000";"Alfa Romeo";"Sprint";"FAMILIAR";"GASOLINA"
"NOE3824";"2013";"BLANCO";"7";"23303.00000";"Alfa Romeo";"Sprint";"MONOVOLÚMENES";"ELÉCTRICO"
"HNT1488";"2010";"BLANCO";"5";"60959.00000";"Alfa Romeo";"Mito";"COMPACTA";"ELÉCTRICO"
"XLK7526";"2008";"BLANCO";"5";"25057.00000";"Alfa Romeo";"Mito";"MEDIANA";"GLP"
"TZR3875";"2002";"BLANCO";"5";"27678.00000";"Aro";"Expander";"COMPACTA";"HÍBRIDO"
"FQL4714";"2013";"BLANCO";"5";"67944.00000";"Aro";"Expander";"ECONÓMICA";"ELÉCTRICO"
"OTA9429";"2020";"BLANCO";"5";"67885.00000";"Aro";"24";"ECONÓMICA";"HÍBRIDO"
"BQA1793";"2020";"BLANCO";"5";"23178.00000";"Aro";"24";"FAMILIAR";"GASOLINA"
"RCJ6100";"2014";"BLANCO";"5";"24854.00000";"Aro";"24";"MEDIANA";"GLP"
"JMK5314";"2017";"BLANCO";"5";"62959.00000";"Asia";"Rocsta";"COMPACTA";"GASOLINA"
"HVG9637";"2013";"BLANCO";"5";"44802.00000";"Asia";"Rocsta";"DESCAPOTABLES";"GLP"
"EAO8279";"2011";"BLANCO";"5";"42295.00000";"Asia";"Rocsta";"SUV";"ELÉCTRICO"
"HWL6894";"2001";"BLANCO";"5";"24576.00000";"Asia Motors";"Rocsta";"MEDIANA";"GN"
"ZFD1911";"2012";"BLANCO";"5";"43531.00000";"Asia Motors";"Rocsta";"SUV";"GASOLINA"
"LWC8714";"2018";"BLANCO";"5";"86941.00000";"Aston Martin";"V8";"FAMILIAR";"HIDRÓGENO"
"FYA2218";"2018";"BLANCO";"5";"64864.00000";"Aston Martin";"V8";"COMPACTA";"GN"
"NOG5676";"2015";"BLANCO";"5";"80676.00000";"Aston Martin";"V8";"DESCAPOTABLES";"HIDRÓGENO"
"XRO8506";"2015";"BLANCO";"5";"27265.00000";"Aston Martin";"Db9";"MEDIANA";"HIDRÓGENO"
"TPP3772";"2019";"BLANCO";"5";"66154.00000";"Aston Martin";"Vanquish";"COMPACTA";"GLP"
"GCS2054";"2014";"BLANCO";"5";"47227.00000";"Aston Martin";"V8 Vantage";"DESCAPOTABLES";"HIDRÓGENO"
"ETJ5657";"2016";"BLANCO";"5";"84085.00000";"Aston Martin";"V8 Vantage";"LUJO";"GASOLINA"
"THG3976";"2015";"BLANCO";"5";"27028.00000";"Aston Martin";"V8 Vantage";"MEDIANA";"HIDRÓGENO"
"LZQ3310";"2002";"BLANCO";"7";"81335.00000";"Aston Martin";"V8 Vantage";"MONOVOLÚMENES";"HIDRÓGENO"
"JFZ2227";"2012";"BLANCO";"7";"43910.00000";"Aston Martin";"V8 Vantage";"MONOVOLÚMENES";"GLP"
"ZIQ2394";"2005";"BLANCO";"5";"64937.00000";"Aston Martin";"Vantage";"COMPACTA";"DIESEL"
"CBY6101";"2005";"BLANCO";"5";"65534.00000";"Aston Martin";"Vantage";"COMPACTA";"GN"
"LHB4810";"2001";"BLANCO";"5";"25853.00000";"Aston Martin";"Vantage";"MEDIANA";"GN"
"SNM8832";"2018";"BLANCO";"7";"41938.00000";"Aston Martin";"Vantage";"MONOVOLÚMENES";"GN"
"YED1093";"2000";"BLANCO";"5";"47181.00000";"Aston Martin";"Vantage";"DESCAPOTABLES";"HIDRÓGENO"
"AGD9359";"2020";"BLANCO";"7";"68200.00000";"Aston Martin";"Dbs";"MONOVOLÚMENES";"GASOLINA"
"RXM7108";"2017";"BLANCO";"5";"85171.00000";"Aston Martin";"Dbs";"LUJO";"DIESEL"
"STP7910";"2017";"BLANCO";"7";"62052.00000";"Aston Martin";"Dbs";"MONOVOLÚMENES";"ELÉCTRICO"
"VID7015";"2007";"BLANCO";"5";"23751.00000";"Aston Martin";"Dbs";"FAMILIAR";"ELÉCTRICO"
"QQI7716";"2011";"BLANCO";"5";"88009.00000";"Aston Martin";"Volante";"FAMILIAR";"HIDRÓGENO"
"GZB5131";"2013";"BLANCO";"7";"1183.00000";"Aston Martin";"Volante";"MONOVOLÚMENES";"GASOLINA"
"PWL6832";"2019";"BLANCO";"5";"66508.00000";"Aston Martin";"Virage";"COMPACTA";"GLP"
"GWL6769";"2015";"BLANCO";"7";"27590.00000";"Aston Martin";"Virage";"MONOVOLÚMENES";"ELÉCTRICO"
"HLG0474";"2002";"BLANCO";"7";"27013.00000";"Aston Martin";"Virage";"MONOVOLÚMENES";"ELÉCTRICO"
"AVD2469";"2016";"BLANCO";"7";"5688.00000";"Aston Martin";"Virage";"MONOVOLÚMENES";"DIESEL"
"FUF8316";"2011";"BLANCO";"5";"41062.00000";"Aston Martin";"Vantage V8";"MONOVOLÚMENES";"HIDRÓGENO"
"JHJ1089";"2011";"BLANCO";"7";"41985.00000";"Aston Martin";"Vantage V8";"MONOVOLÚMENES";"GN"
"PAL1321";"2013";"BLANCO";"5";"45528.00000";"Aston Martin";"Vantage V8";"SUV";"DIESEL"
"EPL5246";"2011";"BLANCO";"5";"87726.00000";"Aston Martin";"Vantage V8";"LUJO";"HIDRÓGENO"
"FPK1537";"2012";"BLANCO";"5";"44470.00000";"Aston Martin";"Vantage V12";"SUV";"GASOLINA"
"YDV7014";"2013";"BLANCO";"5";"45806.00000";"Aston Martin";"Vantage V12";"SUV";"DIESEL"
"CXF4492";"2007";"BLANCO";"5";"23696.00000";"Aston Martin";"Vantage V12";"FAMILIAR";"ELÉCTRICO"
"LII6859";"2019";"BLANCO";"5";"43492.00000";"Aston Martin";"Vantage V12";"SUV";"ELÉCTRICO"
"PTZ6290";"2009";"BLANCO";"5";"27958.00000";"Aston Martin";"Vantage V12";"MEDIANA";"HIDRÓGENO"
"NBT6959";"2003";"BLANCO";"7";"62615.00000";"Aston Martin";"Vantage V12";"MONOVOLÚMENES";"ELÉCTRICO"
"EYD8689";"2008";"BLANCO";"5";"25457.00000";"Aston Martin";"Rapide";"FAMILIAR";"GASOLINA"
"WTD5999";"2020";"BLANCO";"5";"45459.00000";"Aston Martin";"Rapide";"SUV";"GASOLINA"
"SXL4899";"2015";"BLANCO";"5";"3605.00000";"Aston Martin";"Rapide";"ECONÓMICA";"ELÉCTRICO"
"KXL4885";"2002";"BLANCO";"5";"5571.00000";"Aston Martin";"Cygnet";"MINI";"GASOLINA"
"YLL8852";"2011";"BLANCO";"5";"87344.00000";"Aston Martin";"Cygnet";"LUJO";"GLP"
"ETE6769";"2015";"BLANCO";"5";"5005.00000";"Aston Martin";"Cygnet";"ECONÓMICA";"GASOLINA"
"SNO2583";"2004";"BLANCO";"7";"86125.00000";"Aston Martin";"Cygnet";"MONOVOLÚMENES";"HIDRÓGENO"
"OOC8903";"2012";"BLANCO";"5";"44022.00000";"Audi";"A4";"SUV";"ELÉCTRICO"
"XQM5910";"2013";"BLANCO";"5";"67769.00000";"Audi";"A4";"COMPACTA";"GLP"
"IRL1467";"2012";"BLANCO";"5";"20917.00000";"Audi";"A4";"LUJO";"GLP"
"KXK2036";"2019";"BLANCO";"5";"45080.00000";"Audi";"A4";"SUV";"GASOLINA"
"EEH9951";"2017";"BLANCO";"5";"63971.00000";"Audi";"A4";"COMPACTA";"ELÉCTRICO"
"TJM3020";"2008";"BLANCO";"5";"4473.00000";"Audi";"A6";"ECONÓMICA";"ELÉCTRICO"
"IIT7205";"2006";"BLANCO";"5";"21885.00000";"Audi";"A6";"LUJO";"GLP"
"ICM1010";"2008";"BLANCO";"5";"3902.00000";"Audi";"A6";"ECONÓMICA";"HÍBRIDO"
"ASN4710";"2002";"BLANCO";"5";"27778.00000";"Audi";"A6";"MEDIANA";"GLP"
"NRW3839";"2015";"BLANCO";"5";"5177.00000";"Audi";"A6";"ECONÓMICA";"GASOLINA"
"LLU7291";"2009";"BLANCO";"5";"82648.00000";"Audi";"A6";"DESCAPOTABLES";"HIDRÓGENO"
"HHO1021";"2012";"BLANCO";"5";"43251.00000";"Audi";"S6";"SUV";"HÍBRIDO"
"TON0411";"2010";"BLANCO";"5";"85365.00000";"Audi";"Coupe";"LUJO";"GASOLINA"
"XMQ8395";"2014";"BLANCO";"5";"24448.00000";"Audi";"Coupe";"FAMILIAR";"ELÉCTRICO"
"FRV1939";"2011";"BLANCO";"9";"64888.00000";"Audi";"S2";"MONOVOLÚMENES";"ELÉCTRICO"
"EZK1150";"2012";"BLANCO";"5";"44808.00000";"Audi";"S2";"SUV";"ELÉCTRICO"
"RNP5525";"2014";"BLANCO";"5";"48063.00000";"Audi";"Rs2";"DESCAPOTABLES";"GLP"
"FFL6774";"2001";"BLANCO";"5";"81138.00000";"Audi";"Rs2";"SUV";"GN"
"VRW3015";"2007";"BLANCO";"5";"23814.00000";"Audi";"A8";"FAMILIAR";"HÍBRIDO"
"JIO8148";"2009";"BLANCO";"5";"6916.00000";"Audi";"Cabriolet";"MINI";"GASOLINA"
"BLY5715";"2018";"BLANCO";"5";"88045.00000";"Audi";"Cabriolet";"LUJO";"GN"
"CHD8846";"2020";"BLANCO";"5";"23605.00000";"Audi";"S8";"FAMILIAR";"HIDRÓGENO"
"KKR2175";"2002";"BLANCO";"5";"81677.00000";"Audi";"S8";"SUV";"GN"
"NUG1015";"2000";"BLANCO";"5";"46832.00000";"Audi";"S8";"SUV";"GASOLINA"
"HEY2194";"2001";"BLANCO";"5";"25238.00000";"Audi";"S8";"FAMILIAR";"ELÉCTRICO"
"YFI0150";"2013";"BLANCO";"5";"67728.00000";"Audi";"A3";"COMPACTA";"DIESEL"
"NUK7473";"2013";"BLANCO";"5";"67769.00000";"Audi";"A3";"COMPACTA";"DIESEL"
"ZFB7168";"2002";"BLANCO";"7";"28197.00000";"Audi";"A3";"MONOVOLÚMENES";"HÍBRIDO"
"TNI1543";"2003";"BLANCO";"5";"62255.00000";"Audi";"S4";"MEDIANA";"GLP"
"CTP6239";"2016";"BLANCO";"5";"6190.00000";"Audi";"S4";"ECONÓMICA";"ELÉCTRICO"
"OUE5110";"2017";"BLANCO";"5";"8065.00000";"Audi";"S4";"MINI";"GN"
"EDD4360";"2004";"BLANCO";"7";"64556.00000";"Audi";"Tt";"MONOVOLÚMENES";"ELÉCTRICO"
"LMZ6981";"2006";"BLANCO";"5";"67765.00000";"Audi";"Tt";"COMPACTA";"DIESEL"
"JOQ6965";"2010";"BLANCO";"5";"84946.00000";"Audi";"Tt";"DESCAPOTABLES";"HÍBRIDO"
"ECA8905";"2006";"BLANCO";"5";"45262.00000";"Audi";"Tt";"SUV";"HÍBRIDO"
"ALB0961";"2018";"BLANCO";"9";"41689.00000";"Audi";"Tt";"MONOVOLÚMENES";"DIESEL"
"JSN5910";"2003";"BLANCO";"5";"7614.00000";"Audi";"S3";"ECONÓMICA";"GASOLINA"
"NSB2982";"2010";"BLANCO";"5";"62678.00000";"Audi";"S3";"MEDIANA";"GLP"
"KVW8347";"2013";"BLANCO";"5";"46668.00000";"Audi";"S3";"SUV";"ELÉCTRICO"
"XNU5108";"2017";"BLANCO";"5";"41587.00000";"Audi";"S3";"MINI";"DIESEL"
"PAG2446";"2015";"BLANCO";"5";"81563.00000";"Audi";"S3";"SUV";"DIESEL"
"YPF3109";"2004";"BLANCO";"5";"41902.00000";"Audi";"S3";"MINI";"GN"
"FAL2637";"2013";"BLANCO";"5";"45129.00000";"Audi";"S3";"SUV";"HÍBRIDO"
"HGJ2710";"2006";"BLANCO";"5";"23715.00000";"Audi";"Allroad Quattro";"LUJO";"HIDRÓGENO"
"MKP7887";"2001";"BLANCO";"5";"48540.00000";"Audi";"Allroad Quattro";"SUV";"DIESEL"
"FFJ3431";"2014";"BLANCO";"5";"47721.00000";"Audi";"Allroad Quattro";"SUV";"GASOLINA"
"JXL5259";"2019";"BLANCO";"5";"21262.00000";"Audi";"Allroad Quattro";"LUJO";"DIESEL"
"MZL3291";"2018";"BLANCO";"5";"65152.00000";"Audi";"Allroad Quattro";"MEDIANA";"HÍBRIDO"
"SAX5853";"2015";"BLANCO";"5";"82988.00000";"Audi";"Allroad Quattro";"DESCAPOTABLES";"GLP"
"LYG6101";"2005";"BLANCO";"5";"66020.00000";"Audi";"Rs4";"COMPACTA";"ELÉCTRICO"
"OED3959";"2019";"BLANCO";"5";"44309.00000";"Audi";"Rs4";"MONOVOLÚMENES";"HIDRÓGENO"
"HRL2511";"2012";"BLANCO";"5";"44154.00000";"Audi";"A2";"MONOVOLÚMENES";"HIDRÓGENO"
"ULV8491";"2013";"BLANCO";"7";"22904.00000";"Audi";"A2";"MONOVOLÚMENES";"HIDRÓGENO"
"ZKA1078";"2000";"BLANCO";"5";"47869.00000";"Audi";"Rs6";"SUV";"GASOLINA"
"SFA5397";"2017";"BLANCO";"5";"85723.00000";"Audi";"Rs6";"DESCAPOTABLES";"HÍBRIDO"
"PHN8507";"2009";"BLANCO";"5";"82657.00000";"Audi";"Rs6";"SUV";"GN"
"NFP2310";"2000";"BLANCO";"5";"47821.00000";"Audi";"Rs6";"SUV";"GASOLINA"
"QIU8910";"2018";"BLANCO";"5";"42919.00000";"Audi";"Rs6";"MINI";"GLP"
"ERX4349";"2011";"BLANCO";"5";"42857.00000";"Audi";"Rs6";"MINI";"GLP"
"JBE7930";"2005";"BLANCO";"5";"42731.00000";"Audi";"Q7";"MINI";"GN"
"BDM1042";"2001";"BLANCO";"5";"26356.00000";"Audi";"Q7";"FAMILIAR";"ELÉCTRICO"
"CEP5678";"2014";"BLANCO";"5";"24745.00000";"Audi";"R8";"LUJO";"HIDRÓGENO"
"KIN6381";"2002";"BLANCO";"5";"27376.00000";"Audi";"A5";"FAMILIAR";"ELÉCTRICO"
"ZVG7107";"2017";"BLANCO";"5";"85453.00000";"Audi";"A5";"DESCAPOTABLES";"HÍBRIDO"
"MZK2662";"2003";"BLANCO";"7";"7120.00000";"Audi";"A5";"MONOVOLÚMENES";"GASOLINA"
"VHX6415";"2018";"BLANCO";"5";"64897.00000";"Audi";"A5";"MEDIANA";"HIDRÓGENO"
"MBW2429";"2019";"BLANCO";"5";"68543.00000";"Audi";"S5";"COMPACTA";"GASOLINA"
"UAT8662";"2007";"BLANCO";"7";"1588.00000";"Audi";"S5";"MONOVOLÚMENES";"ELÉCTRICO"
"JVZ5599";"2019";"BLANCO";"5";"21942.00000";"Audi";"S5";"LUJO";"GASOLINA"
"BWF3167";"2012";"BLANCO";"5";"22285.00000";"Audi";"S5";"LUJO";"GASOLINA"
"VTG1021";"2014";"BLANCO";"7";"48138.00000";"Audi";"V8";"MONOVOLÚMENES";"GLP"
"VNE3830";"2004";"BLANCO";"5";"42067.00000";"Audi";"V8";"ECONÓMICA";"GASOLINA"
"LHC6959";"2019";"BLANCO";"5";"21549.00000";"Audi";"V8";"LUJO";"GASOLINA"
"VVQ7601";"2014";"BLANCO";"7";"48754.00000";"Audi";"V8";"MONOVOLÚMENES";"GLP"
"SKY5664";"2016";"BLANCO";"5";"85255.00000";"Audi";"200";"DESCAPOTABLES";"HIDRÓGENO"
"UYH8890";"2009";"BLANCO";"5";"28818.00000";"Audi";"100";"FAMILIAR";"GASOLINA"
"TPS9107";"2009";"BLANCO";"5";"5439.00000";"Audi";"100";"ECONÓMICA";"HIDRÓGENO"
"MHA2866";"2003";"BLANCO";"5";"62868.00000";"Audi";"100";"FAMILIAR";"DIESEL"
"ZFC8735";"2006";"BLANCO";"5";"22037.00000";"Audi";"90";"DESCAPOTABLES";"GASOLINA"
"UAS6845";"2002";"BLANCO";"7";"28327.00000";"Audi";"90";"MONOVOLÚMENES";"HÍBRIDO"
"UYK1472";"2003";"BLANCO";"5";"62355.00000";"Audi";"90";"FAMILIAR";"GASOLINA"
"YVK5264";"2005";"BLANCO";"5";"44006.00000";"Audi";"90";"MINI";"GLP"
"BEQ7546";"2016";"BLANCO";"5";"6195.00000";"Audi";"90";"ECONÓMICA";"HIDRÓGENO"
"JCJ6844";"2001";"BLANCO";"5";"81620.00000";"Audi";"90";"SUV";"ELÉCTRICO"
"QZA1795";"2014";"BLANCO";"5";"25677.00000";"Audi";"Tts";"LUJO";"HIDRÓGENO"
"OIY8087";"2009";"BLANCO";"5";"83917.00000";"Audi";"Tts";"SUV";"GN"
"OVL7334";"2005";"BLANCO";"5";"43537.00000";"Audi";"Q5";"MINI";"DIESEL"
"JHG5659";"2015";"BLANCO";"5";"4031.00000";"Audi";"Q5";"COMPACTA";"GN"
"MSC3528";"2006";"BLANCO";"5";"45357.00000";"Audi";"A4 Allroad Quattro";"MINI";"GLP"
"ETF9643";"2009";"BLANCO";"5";"28237.00000";"Audi";"A4 Allroad Quattro";"FAMILIAR";"ELÉCTRICO"
"OBO6400";"2000";"BLANCO";"5";"2114.00000";"Audi";"A4 Allroad Quattro";"COMPACTA";"ELÉCTRICO"
"OXX8126";"2007";"BLANCO";"5";"25273.00000";"Audi";"Tt Rs";"LUJO";"GLP"
"ERS7167";"2013";"BLANCO";"5";"68796.00000";"Audi";"Tt Rs";"COMPACTA";"ELÉCTRICO"
"TXF3109";"2017";"BLANCO";"5";"86651.00000";"Audi";"Tt Rs";"DESCAPOTABLES";"HIDRÓGENO"
"BWC9110";"2015";"BLANCO";"5";"4248.00000";"Audi";"Tt Rs";"COMPACTA";"GN"
"WZF1193";"2000";"BLANCO";"5";"25289.00000";"Audi";"Tt Rs";"LUJO";"GLP"
"BAX5676";"2015";"BLANCO";"5";"4941.00000";"Audi";"Tt Rs";"COMPACTA";"GLP"
"IMJ4942";"2019";"BLANCO";"5";"45054.00000";"Audi";"Tt Rs";"MINI";"GLP"
"JCM1810";"2001";"BLANCO";"5";"3389.00000";"Audi";"Tt Rs";"COMPACTA";"GASOLINA"
"OIX6401";"2005";"BLANCO";"7";"67198.00000";"Audi";"Tt Rs";"MONOVOLÚMENES";"ELÉCTRICO"
"ADN2572";"2019";"BLANCO";"5";"21639.00000";"Audi";"Rs5";"DESCAPOTABLES";"ELÉCTRICO"
"JNJ4748";"2018";"BLANCO";"7";"65654.00000";"Audi";"Rs5";"MONOVOLÚMENES";"ELÉCTRICO"
"CLY4010";"2002";"BLANCO";"5";"5465.00000";"Audi";"Rs5";"COMPACTA";"GLP"
"ABI4939";"2011";"BLANCO";"5";"65036.00000";"Audi";"Rs5";"MEDIANA";"GLP"
"JTN4461";"2009";"BLANCO";"7";"83526.00000";"Audi";"Rs5";"MONOVOLÚMENES";"GLP"
"ZHN8270";"2001";"BLANCO";"7";"3019.00000";"Audi";"A1";"MONOVOLÚMENES";"ELÉCTRICO"
"JVB7558";"2014";"BLANCO";"5";"26622.00000";"Audi";"A1";"LUJO";"HIDRÓGENO"
"DMZ5669";"2019";"BLANCO";"5";"22830.00000";"Audi";"A1";"DESCAPOTABLES";"GASOLINA"
"FXX7106";"2007";"BLANCO";"5";"25666.00000";"Audi";"A7";"LUJO";"GLP"
