"nombre_actor";"apellidos_actor";"titulo_pelicula";"anio_pelicula";"es_protagonista"
"ALBERT";"NOLTE";"PATRIOT ROMAN";"2006";"0"
"ALBERT";"NOLTE";"PITY BOUND";"2006";"0"
"ALBERT";"NOLTE";"RAGE GAMES";"2006";"0"
"ALBERT";"NOLTE";"TAXI KICK";"2006";"0"
"ALBERT";"NOLTE";"TRAP GUYS";"2006";"0"
"ALBERT";"NOLTE";"VOLCANO TEXAS";"2006";"0"
"ALBERT";"NOLTE";"WATERSHIP FRONTIER";"2006";"0"
"ALEC";"WAYNE";"ALADDIN CALENDAR";"2006";"0"
"ALEC";"WAYNE";"BLADE POLISH";"2006";"0"
"ALEC";"WAYNE";"BULL SHAWSHANK";"2006";"0"
"ALEC";"WAYNE";"CABIN FLASH";"2006";"0"
"ALEC";"WAYNE";"CENTER DINOSAUR";"2006";"0"
"ALEC";"WAYNE";"CHAMBER ITALIAN";"2006";"0"
"ALEC";"WAYNE";"CONEHEADS SMOOCHY";"2006";"0"
"ALEC";"WAYNE";"DESTINY SATURDAY";"2006";"0"
"ALEC";"WAYNE";"EFFECT GLADIATOR";"2006";"0"
"ALEC";"WAYNE";"ENCOUNTERS CURTAIN";"2006";"0"
"ALEC";"WAYNE";"EXPRESS LONELY";"2006";"0"
"ALEC";"WAYNE";"FICTION CHRISTMAS";"2006";"0"
"ALEC";"WAYNE";"FREEDOM CLEOPATRA";"2006";"0"
"ALEC";"WAYNE";"FUGITIVE MAGUIRE";"2006";"0"
"ALEC";"WAYNE";"HOURS RAGE";"2006";"0"
"ALEC";"WAYNE";"HUSTLER PARTY";"2006";"0"
"ALEC";"WAYNE";"IDENTITY LOVER";"2006";"0"
"ALEC";"WAYNE";"INSIDER ARIZONA";"2006";"0"
"ALEC";"WAYNE";"JEOPARDY ENCINO";"2006";"0"
"ALEC";"WAYNE";"JOON NORTHWEST";"2006";"0"
"ALEC";"WAYNE";"LIBERTY MAGNIFICENT";"2006";"0"
"ALEC";"WAYNE";"MAGIC MALLRATS";"2006";"0"
"ALEC";"WAYNE";"MONEY HAROLD";"2006";"0"
"ALEC";"WAYNE";"OUTBREAK DIVINE";"2006";"0"
"ALEC";"WAYNE";"REIGN GENTLEMEN";"2006";"0"
"ALEC";"WAYNE";"SMOKING BARBARELLA";"2006";"0"
"ALEC";"WAYNE";"SUMMER SCARFACE";"2006";"0"
"ALEC";"WAYNE";"UPTOWN YOUNG";"2006";"0"
"ALEC";"WAYNE";"VIRGIN DAISY";"2006";"0"
"ANGELA";"HUDSON";"ARMAGEDDON LOST";"2006";"0"
"ANGELA";"HUDSON";"AUTUMN CROW";"2006";"0"
"ANGELA";"HUDSON";"BRIDE INTRIGUE";"2006";"0"
"ANGELA";"HUDSON";"BULWORTH COMMANDMENTS";"2006";"0"
"ANGELA";"HUDSON";"CANDLES GRAPES";"2006";"0"
"ANGELA";"HUDSON";"CASSIDY WYOMING";"2006";"0"
"ANGELA";"HUDSON";"CLONES PINOCCHIO";"2006";"0"
"ANGELA";"HUDSON";"ELEMENT FREDDY";"2006";"0"
"ANGELA";"HUDSON";"FATAL HAUNTED";"2006";"0"
"ANGELA";"HUDSON";"FRISCO FORREST";"2006";"0"
"ANGELA";"HUDSON";"GAMES BOWFINGER";"2006";"0"
"ANGELA";"HUDSON";"GOSFORD DONNIE";"2006";"0"
"ANGELA";"HUDSON";"HANOVER GALAXY";"2006";"0"
"ANGELA";"HUDSON";"ISLAND EXORCIST";"2006";"0"
"ANGELA";"HUDSON";"JAPANESE RUN";"2006";"0"
"ANGELA";"HUDSON";"JASON TRAP";"2006";"0"
"ANGELA";"HUDSON";"JUMPING WRATH";"2006";"0"
"ANGELA";"HUDSON";"KICK SAVANNAH";"2006";"0"
"ANGELA";"HUDSON";"LEGEND JEDI";"2006";"0"
"ANGELA";"HUDSON";"LESSON CLEOPATRA";"2006";"0"
"ANGELA";"HUDSON";"LUKE MUMMY";"2006";"0"
"ANGELA";"HUDSON";"MALTESE HOPE";"2006";"0"
"ANGELA";"HUDSON";"METAL ARMAGEDDON";"2006";"0"
"ANGELA";"HUDSON";"MILE MULAN";"2006";"0"
"ANGELA";"HUDSON";"NASH CHOCOLAT";"2006";"0"
"ANGELA";"HUDSON";"PARIS WEEKEND";"2006";"0"
"ANGELA";"HUDSON";"PITY BOUND";"2006";"0"
"ANGELA";"HUDSON";"PREJUDICE OLEANDER";"2006";"0"
"ANGELA";"HUDSON";"RANDOM GO";"2006";"0"
"ANGELA";"HUDSON";"ROBBERS JOON";"2006";"0"
"ANGELA";"HUDSON";"STRANGELOVE DESIRE";"2006";"0"
"ANGELA";"HUDSON";"VELVET TERMINATOR";"2006";"0"
"ANGELA";"HUDSON";"VOYAGE LEGALLY";"2006";"0"
"ANGELA";"HUDSON";"WATERSHIP FRONTIER";"2006";"0"
"ANGELA";"WITHERSPOON";"ALTER VICTORY";"2006";"0"
"ANGELA";"WITHERSPOON";"BERETS AGENT";"2006";"0"
"ANGELA";"WITHERSPOON";"BLADE POLISH";"2006";"0"
"ANGELA";"WITHERSPOON";"BOULEVARD MOB";"2006";"0"
"ANGELA";"WITHERSPOON";"BRINGING HYSTERICAL";"2006";"0"
"ANGELA";"WITHERSPOON";"BULL SHAWSHANK";"2006";"0"
"ANGELA";"WITHERSPOON";"CASABLANCA SUPER";"2006";"0"
"ANGELA";"WITHERSPOON";"CASSIDY WYOMING";"2006";"0"
"ANGELA";"WITHERSPOON";"CAT CONEHEADS";"2006";"0"
"ANGELA";"WITHERSPOON";"CELEBRITY HORN";"2006";"0"
"ANGELA";"WITHERSPOON";"CHANCE RESURRECTION";"2006";"0"
"ANGELA";"WITHERSPOON";"COAST RAINBOW";"2006";"0"
"ANGELA";"WITHERSPOON";"CORE SUIT";"2006";"0"
"ANGELA";"WITHERSPOON";"DAY UNFAITHFUL";"2006";"0"
"ANGELA";"WITHERSPOON";"DETECTIVE VISION";"2006";"0"
"ANGELA";"WITHERSPOON";"DUDE BLINDNESS";"2006";"0"
"ANGELA";"WITHERSPOON";"EDGE KISSING";"2006";"0"
"ANGELA";"WITHERSPOON";"EVOLUTION ALTER";"2006";"0"
"ANGELA";"WITHERSPOON";"EXORCIST STING";"2006";"0"
"ANGELA";"WITHERSPOON";"FIDDLER LOST";"2006";"0"
"ANGELA";"WITHERSPOON";"HALLOWEEN NUTS";"2006";"0"
"ANGELA";"WITHERSPOON";"HANGING DEEP";"2006";"0"
"ANGELA";"WITHERSPOON";"JACKET FRISCO";"2006";"0"
"ANGELA";"WITHERSPOON";"KWAI HOMEWARD";"2006";"0"
"ANGELA";"WITHERSPOON";"LUCKY FLYING";"2006";"0"
"ANGELA";"WITHERSPOON";"MOTHER OLEANDER";"2006";"0"
"ANGELA";"WITHERSPOON";"PEAK FOREVER";"2006";"0"
"ANGELA";"WITHERSPOON";"PULP BEVERLY";"2006";"0"
"ANGELA";"WITHERSPOON";"RUSH GOODFELLAS";"2006";"0"
"ANGELA";"WITHERSPOON";"SASSY PACKER";"2006";"0"
"ANGELA";"WITHERSPOON";"SECRET GROUNDHOG";"2006";"0"
"ANGELA";"WITHERSPOON";"SHAWSHANK BUBBLE";"2006";"0"
"ANGELA";"WITHERSPOON";"STEPMOM DREAM";"2006";"0"
"ANGELA";"WITHERSPOON";"TOMATOES HELLFIGHTERS";"2006";"0"
"ANGELA";"WITHERSPOON";"WAIT CIDER";"2006";"0"
"ANGELINA";"ASTAIRE";"BEAST HUNCHBACK";"2006";"0"
"ANGELINA";"ASTAIRE";"BENEATH RUSH";"2006";"0"
"ANGELINA";"ASTAIRE";"BETRAYED REAR";"2006";"0"
"ANGELINA";"ASTAIRE";"BREAKFAST GOLDFINGER";"2006";"0"
"ANGELINA";"ASTAIRE";"CARRIE BUNCH";"2006";"0"
"ANGELINA";"ASTAIRE";"CRANES RESERVOIR";"2006";"0"
"ANGELINA";"ASTAIRE";"DESIRE ALIEN";"2006";"0"
"ANGELINA";"ASTAIRE";"DISTURBING SCARFACE";"2006";"0"
"ANGELINA";"ASTAIRE";"DRAGONFLY STRANGERS";"2006";"0"
"ANGELINA";"ASTAIRE";"GANDHI KWAI";"2006";"0"
"ANGELINA";"ASTAIRE";"HUSTLER PARTY";"2006";"0"
"ANGELINA";"ASTAIRE";"INTENTIONS EMPIRE";"2006";"0"
"ANGELINA";"ASTAIRE";"JADE BUNCH";"2006";"0"
"ANGELINA";"ASTAIRE";"KILLER INNOCENT";"2006";"0"
"ANGELINA";"ASTAIRE";"MEMENTO ZOOLANDER";"2006";"0"
"ANGELINA";"ASTAIRE";"MULAN MOON";"2006";"0"
"ANGELINA";"ASTAIRE";"MUMMY CREATURES";"2006";"0"
"ANGELINA";"ASTAIRE";"ORDER BETRAYED";"2006";"0"
"ANGELINA";"ASTAIRE";"OUTLAW HANKY";"2006";"0"
"ANGELINA";"ASTAIRE";"PACIFIC AMISTAD";"2006";"0"
"ANGELINA";"ASTAIRE";"RACER EGG";"2006";"0"
"ANGELINA";"ASTAIRE";"SAMURAI LION";"2006";"0"
"ANGELINA";"ASTAIRE";"SATURN NAME";"2006";"0"
"ANGELINA";"ASTAIRE";"SEVEN SWARM";"2006";"0"
"ANGELINA";"ASTAIRE";"STORY SIDE";"2006";"0"
"ANGELINA";"ASTAIRE";"SUMMER SCARFACE";"2006";"0"
"ANGELINA";"ASTAIRE";"SUNSET RACER";"2006";"0"
"ANGELINA";"ASTAIRE";"SWARM GOLD";"2006";"0"
"ANGELINA";"ASTAIRE";"TROJAN TOMORROW";"2006";"0"
"ANGELINA";"ASTAIRE";"VANISHED GARDEN";"2006";"0"
"ANGELINA";"ASTAIRE";"WARDROBE PHANTOM";"2006";"0"
"ANNE";"CRONYN";"APACHE DIVINE";"2006";"0"
"ANNE";"CRONYN";"CINCINATTI WHISPERER";"2006";"0"
"ANNE";"CRONYN";"CROWDS TELEMARK";"2006";"0"
"ANNE";"CRONYN";"DANGEROUS UPTOWN";"2006";"0"
"ANNE";"CRONYN";"DRAGON SQUAD";"2006";"0"
"ANNE";"CRONYN";"ENCOUNTERS CURTAIN";"2006";"0"
"ANNE";"CRONYN";"GANDHI KWAI";"2006";"0"
"ANNE";"CRONYN";"HALF OUTFIELD";"2006";"0"
"ANNE";"CRONYN";"HARDLY ROBBERS";"2006";"0"
"ANNE";"CRONYN";"HAWK CHILL";"2006";"0"
"ANNE";"CRONYN";"HOLLYWOOD ANONYMOUS";"2006";"0"
"ANNE";"CRONYN";"HORN WORKING";"2006";"0"
"ANNE";"CRONYN";"IRON MOON";"2006";"0"
"ANNE";"CRONYN";"LADY STAGE";"2006";"0"
"ANNE";"CRONYN";"LUST LOCK";"2006";"0"
"ANNE";"CRONYN";"MANNEQUIN WORST";"2006";"0"
"ANNE";"CRONYN";"MINDS TRUMAN";"2006";"0"
"ANNE";"CRONYN";"MOON BUNCH";"2006";"0"
"ANNE";"CRONYN";"PATHS CONTROL";"2006";"0"
"ANNE";"CRONYN";"RACER EGG";"2006";"0"
"ANNE";"CRONYN";"REAP UNFAITHFUL";"2006";"0"
"ANNE";"CRONYN";"REQUIEM TYCOON";"2006";"0"
"ANNE";"CRONYN";"RIDER CADDYSHACK";"2006";"0"
"ANNE";"CRONYN";"SMILE EARRING";"2006";"0"
"ANNE";"CRONYN";"UPRISING UPTOWN";"2006";"0"
"ANNE";"CRONYN";"WINDOW SIDE";"2006";"0"
"ANNE";"CRONYN";"WIZARD COLDBLOODED";"2006";"0"
"AUDREY";"BAILEY";"ARK RIDGEMONT";"2006";"0"
"AUDREY";"BAILEY";"BANGER PINOCCHIO";"2006";"0"
"AUDREY";"BAILEY";"BED HIGHBALL";"2006";"0"
"AUDREY";"BAILEY";"BOONDOCK BALLROOM";"2006";"0"
"AUDREY";"BAILEY";"CONFESSIONS MAGUIRE";"2006";"0"
"AUDREY";"BAILEY";"DISTURBING SCARFACE";"2006";"0"
"AUDREY";"BAILEY";"DRIFTER COMMANDMENTS";"2006";"0"
"AUDREY";"BAILEY";"ELF MURDER";"2006";"0"
"AUDREY";"BAILEY";"FEVER EMPIRE";"2006";"0"
"AUDREY";"BAILEY";"GRAFFITI LOVE";"2006";"0"
"AUDREY";"BAILEY";"HEAVENLY GUN";"2006";"0"
"AUDREY";"BAILEY";"HOME PITY";"2006";"0"
"AUDREY";"BAILEY";"ITALIAN AFRICAN";"2006";"0"
"AUDREY";"BAILEY";"MAGNOLIA FORRESTER";"2006";"0"
"AUDREY";"BAILEY";"MASKED BUBBLE";"2006";"0"
"AUDREY";"BAILEY";"MUMMY CREATURES";"2006";"0"
"AUDREY";"BAILEY";"NEWTON LABYRINTH";"2006";"0"
"AUDREY";"BAILEY";"PILOT HOOSIERS";"2006";"0"
"AUDREY";"BAILEY";"PITTSBURGH HUNCHBACK";"2006";"0"
"AUDREY";"BAILEY";"POTTER CONNECTICUT";"2006";"0"
"AUDREY";"BAILEY";"PRESIDENT BANG";"2006";"0"
"AUDREY";"BAILEY";"PURPLE MOVIE";"2006";"0"
"AUDREY";"BAILEY";"QUILLS BULL";"2006";"0"
"AUDREY";"BAILEY";"SKY MIRACLE";"2006";"0"
"AUDREY";"BAILEY";"SLEEPY JAPANESE";"2006";"0"
"AUDREY";"BAILEY";"TADPOLE PARK";"2006";"0"
"AUDREY";"BAILEY";"WARLOCK WEREWOLF";"2006";"0"
"AUDREY";"OLIVIER";"ATLANTIS CAUSE";"2006";"0"
"AUDREY";"OLIVIER";"BOULEVARD MOB";"2006";"0"
"AUDREY";"OLIVIER";"CAPER MOTIONS";"2006";"0"
"AUDREY";"OLIVIER";"CASSIDY WYOMING";"2006";"0"
"AUDREY";"OLIVIER";"CONEHEADS SMOOCHY";"2006";"0"
"AUDREY";"OLIVIER";"CONTROL ANTHEM";"2006";"0"
"AUDREY";"OLIVIER";"DORADO NOTTING";"2006";"0"
"AUDREY";"OLIVIER";"FRENCH HOLIDAY";"2006";"0"
"AUDREY";"OLIVIER";"GUNFIGHTER MUSSOLINI";"2006";"0"
"AUDREY";"OLIVIER";"HALLOWEEN NUTS";"2006";"0"
"AUDREY";"OLIVIER";"HUMAN GRAFFITI";"2006";"0"
"AUDREY";"OLIVIER";"KANE EXORCIST";"2006";"0"
"AUDREY";"OLIVIER";"KNOCK WARLOCK";"2006";"0"
"AUDREY";"OLIVIER";"LOATHING LEGALLY";"2006";"0"
"AUDREY";"OLIVIER";"PEAK FOREVER";"2006";"0"
"AUDREY";"OLIVIER";"REDEMPTION COMFORTS";"2006";"0"
"AUDREY";"OLIVIER";"SENSE GREEK";"2006";"0"
"AUDREY";"OLIVIER";"SHIP WONDERLAND";"2006";"0"
"AUDREY";"OLIVIER";"SIDE ARK";"2006";"0"
"AUDREY";"OLIVIER";"SQUAD FISH";"2006";"0"
"AUDREY";"OLIVIER";"STING PERSONAL";"2006";"0"
"AUDREY";"OLIVIER";"STRANGER STRANGERS";"2006";"0"
"AUDREY";"OLIVIER";"USUAL UNTOUCHABLES";"2006";"0"
"AUDREY";"OLIVIER";"VOLUME HOUSE";"2006";"0"
"AUDREY";"OLIVIER";"WHALE BIKINI";"2006";"0"
"BELA";"WALKEN";"BEETHOVEN EXORCIST";"2006";"0"
"BELA";"WALKEN";"CARRIE BUNCH";"2006";"0"
"BELA";"WALKEN";"CLERKS ANGELS";"2006";"0"
"BELA";"WALKEN";"COMFORTS RUSH";"2006";"0"
"BELA";"WALKEN";"ELEMENT FREDDY";"2006";"0"
"BELA";"WALKEN";"ENEMY ODDS";"2006";"0"
"BELA";"WALKEN";"FANTASY TROOPERS";"2006";"0"
"BELA";"WALKEN";"FLINTSTONES HAPPINESS";"2006";"0"
"BELA";"WALKEN";"HOLLYWOOD ANONYMOUS";"2006";"0"
"BELA";"WALKEN";"JACKET FRISCO";"2006";"0"
"BELA";"WALKEN";"JERK PAYCHECK";"2006";"0"
"BELA";"WALKEN";"LEGALLY SECRETARY";"2006";"0"
"BELA";"WALKEN";"LION UNCUT";"2006";"0"
"BELA";"WALKEN";"LUKE MUMMY";"2006";"0"
"BELA";"WALKEN";"MARS ROMAN";"2006";"0"
"BELA";"WALKEN";"MIDSUMMER GROUNDHOG";"2006";"0"
"BELA";"WALKEN";"MIGHTY LUCK";"2006";"0"
"BELA";"WALKEN";"MOD SECRETARY";"2006";"0"
"BELA";"WALKEN";"NASH CHOCOLAT";"2006";"0"
"BELA";"WALKEN";"OKLAHOMA JUMANJI";"2006";"0"
"BELA";"WALKEN";"PIZZA JUMANJI";"2006";"0"
"BELA";"WALKEN";"SIEGE MADRE";"2006";"0"
"BELA";"WALKEN";"SNATCHERS MONTEZUMA";"2006";"0"
"BELA";"WALKEN";"SPLENDOR PATTON";"2006";"0"
"BELA";"WALKEN";"STAGE WORLD";"2006";"0"
"BELA";"WALKEN";"TRAMP OTHERS";"2006";"0"
"BELA";"WALKEN";"TRAP GUYS";"2006";"0"
"BELA";"WALKEN";"TYCOON GATHERING";"2006";"0"
"BELA";"WALKEN";"VERTIGO NORTHWEST";"2006";"0"
"BELA";"WALKEN";"WHISPERER GIANT";"2006";"0"
"BEN";"HARRIS";"BEAR GRACELAND";"2006";"0"
"BEN";"HARRIS";"CITIZEN SHREK";"2006";"0"
"BEN";"HARRIS";"DAZED PUNK";"2006";"0"
