"nombre";"apellidos";"nacionalidad"
"BETTE";"CRONYN";"EEUU"
"BETTE";"CRUISE";"EEUU"
"BETTE";"DEGENERES";"EEUU"
"BETTE";"GIBSON";"EEUU"
"BETTE";"KEITEL";"EEUU"
"BOB";"BAILEY";"EEUU"
"BOB";"BARRYMORE";"EEUU"
"BOB";"BERGMAN";"EEUU"
"BOB";"BERRY";"EEUU"
"BOB";"BIRCH";"EEUU"
"BOB";"BLOOM";"EEUU"
"BOB";"BOLGER";"EEUU"
"BOB";"BRIDGES";"EEUU"
"BOB";"CARREY";"EEUU"
"BOB";"CHAPLIN";"EEUU"
"BOB";"CROWE";"EEUU"
"BOB";"DAVIS";"EEUU"
"BOB";"DENCH";"EEUU"
"BOB";"DEPP";"EEUU"
"BOB";"FAWCETT";"EEUU"
"BURT";"AKROYD";"EEUU"
"BURT";"ALLEN";"EEUU"
"BURT";"BACALL";"EEUU"
"BURT";"BAILEY";"EEUU"
"BURT";"BALE";"EEUU"
"BURT";"BALL";"EEUU"
"BURT";"BARRYMORE";"EEUU"
"BURT";"BENING";"EEUU"
"BURT";"BERGMAN";"EEUU"
"BURT";"BERRY";"EEUU"
"BURT";"BIRCH";"EEUU"
"BURT";"BOLGER";"EEUU"
"BURT";"BRODY";"EEUU"
"BURT";"CAGE";"EEUU"
"BURT";"CARREY";"EEUU"
"BURT";"CLOSE";"EEUU"
"BURT";"CRAWFORD";"EEUU"
"BURT";"CROWE";"EEUU"
"BURT";"DAY-LEWIS";"EEUU"
"BURT";"DEE";"EEUU"
"BURT";"DEGENERES";"EEUU"
"BURT";"DUKAKIS";"EEUU"
"BURT";"DUNST";"EEUU"
"BURT";"GARLAND";"EEUU"
"BURT";"GUINESS";"EEUU"
"BURT";"HACKMAN";"EEUU"
"BURT";"HARRIS";"EEUU"
"BURT";"HAWKE";"EEUU"
"BURT";"STALLONE";"EEUU"
"CAMERON";"AKROYD";"EEUU"
"CAMERON";"ALLEN";"EEUU"
"CAMERON";"BACALL";"EEUU"
"CAMERON";"BAILEY";"EEUU"
"CAMERON";"BALE";"EEUU"
"CAMERON";"BALL";"EEUU"
"CAMERON";"BARRYMORE";"EEUU"
"CAMERON";"BASINGER";"EEUU"
"CAMERON";"BENING";"EEUU"
"CAMERON";"BERGEN";"EEUU"
"CAMERON";"BERGMAN";"EEUU"
"CAMERON";"BERRY";"EEUU"
"CAMERON";"BRIDGES";"EEUU"
"CAMERON";"CAGE";"EEUU"
"CAMERON";"CARREY";"EEUU"
"CAMERON";"CRAWFORD";"EEUU"
"CAMERON";"CRUISE";"EEUU"
"CAMERON";"DAMON";"EEUU"
"CAMERON";"DAVIS";"EEUU"
"CAMERON";"DENCH";"EEUU"
"CAMERON";"DUNST";"EEUU"
"CAMERON";"GARLAND";"EEUU"
"CAMERON";"GIBSON";"EEUU"
"CAMERON";"HESTON";"EEUU"
"CAMERON";"HOPE";"EEUU"
"CAMERON";"KEITEL";"EEUU"
"CAMERON";"MOSTEL";"EEUU"
"CARMEN";"BASINGER";"EEUU"
"CARMEN";"BERRY";"EEUU"
"CARMEN";"BRODY";"EEUU"
"CARMEN";"BULLOCK";"EEUU"
"CARMEN";"CARREY";"EEUU"
"CARMEN";"CHAPLIN";"EEUU"
"CARMEN";"CLOSE";"EEUU"
"CARMEN";"CRONYN";"EEUU"
"CARMEN";"DUNST";"EEUU"
"CARMEN";"HACKMAN";"EEUU"
"CARMEN";"HOFFMAN";"EEUU"
"CARY";"BALL";"EEUU"
"CARY";"BENING";"EEUU"
"CARY";"BERGEN";"EEUU"
"CARY";"BERRY";"EEUU"
"CARY";"BOLGER";"EEUU"
"CARY";"CARREY";"EEUU"
"CARY";"CHASE";"EEUU"
"CARY";"CROWE";"EEUU"
"CARY";"DUKAKIS";"EEUU"
"CARY";"GARLAND";"EEUU"
"CARY";"GOODING";"EEUU"
"CARY";"MCCONAUGHEY";"EEUU"
"CATE";"BACALL";"EEUU"
"CATE";"BALE";"EEUU"
"CATE";"BALL";"EEUU"
"CATE";"BARRYMORE";"EEUU"
"CATE";"BASINGER";"EEUU"
"CATE";"BENING";"EEUU"
"CATE";"BERGEN";"EEUU"
"CATE";"BERRY";"EEUU"
"CATE";"BOLGER";"EEUU"
"CATE";"BRODY";"EEUU"
"CATE";"CAGE";"EEUU"
"CATE";"DAVIS";"EEUU"
"CATE";"DEAN";"EEUU"
"CATE";"DEPP";"EEUU"
"CATE";"DERN";"EEUU"
"CATE";"JACKMAN";"EEUU"
"CHARLIZE";"AKROYD";"EEUU"
"CHARLIZE";"BALL";"EEUU"
"CHARLIZE";"BASINGER";"EEUU"
"CHARLIZE";"BERGEN";"EEUU"
"CHARLIZE";"BLOOM";"EEUU"
"CHARLIZE";"DENCH";"EEUU"
"CHRIS";"AKROYD";"EEUU"
"CHRIS";"ALLEN";"EEUU"
"CHRIS";"BALE";"EEUU"
"CHRIS";"BALL";"EEUU"
"CHRIS";"BASINGER";"EEUU"
"CHRIS";"BERRY";"EEUU"
"CHRIS";"BRIDGES";"EEUU"
"CHRIS";"COSTNER";"EEUU"
"CHRIS";"CROWE";"EEUU"
"CHRIS";"CRUISE";"EEUU"
"CHRIS";"DAVIS";"EEUU"
"CHRIS";"DEAN";"EEUU"
"CHRIS";"DEE";"EEUU"
"CHRIS";"DEPP";"EEUU"
"CHRISTIAN";"AKROYD";"EEUU"
"CHRISTIAN";"ALLEN";"EEUU"
"CHRISTIAN";"BAILEY";"EEUU"
"CHRISTIAN";"BALE";"EEUU"
"CHRISTIAN";"BALL";"EEUU"
"CHRISTIAN";"BERGEN";"EEUU"
"CHRISTIAN";"BERRY";"EEUU"
"CHRISTIAN";"BOLGER";"EEUU"
"CHRISTIAN";"BRODY";"EEUU"
"CHRISTIAN";"CAGE";"EEUU"
"CHRISTIAN";"CARREY";"EEUU"
"CHRISTIAN";"CLOSE";"EEUU"
"CHRISTIAN";"CROWE";"EEUU"
"CHRISTIAN";"DEGENERES";"EEUU"
"CHRISTIAN";"GABLE";"EEUU"
"CHRISTIAN";"HARRIS";"EEUU"
"CHRISTIAN";"LOLLOBRIGIDA";"EEUU"
"CHRISTIAN";"MCDORMAND";"EEUU"
"CHRISTOPHER";"ALLEN";"EEUU"
"CHRISTOPHER";"BALL";"EEUU"
"CHRISTOPHER";"BENING";"EEUU"
"CHRISTOPHER";"BERRY";"EEUU"
"CHRISTOPHER";"CAGE";"EEUU"
"CHRISTOPHER";"CHASE";"EEUU"
"CHRISTOPHER";"CRAWFORD";"EEUU"
"CHRISTOPHER";"DAMON";"EEUU"
"CHRISTOPHER";"DUNST";"EEUU"
"CHRISTOPHER";"HOFFMAN";"EEUU"
"CHRISTOPHER";"HOPPER";"EEUU"
"CHRISTOPHER";"MONROE";"EEUU"
"CHRISTOPHER";"PENN";"EEUU"
"Clint";"Eastwood";"EEUU"
"CUBA";"AKROYD";"EEUU"
"CUBA";"ALLEN";"EEUU"
"CUBA";"BACALL";"EEUU"
"CUBA";"BALL";"EEUU"
"CUBA";"BARRYMORE";"EEUU"
"CUBA";"BASINGER";"EEUU"
"CUBA";"BENING";"EEUU"
"CUBA";"BERRY";"EEUU"
"CUBA";"BIRCH";"EEUU"
"CUBA";"CHASE";"EEUU"
"CUBA";"COSTNER";"EEUU"
"CUBA";"DUNST";"EEUU"
"CUBA";"OLIVIER";"EEUU"
"DAN";"AKROYD";"EEUU"
"DAN";"ALLEN";"EEUU"
"DAN";"BALE";"EEUU"
"DAN";"BALL";"EEUU"
"DAN";"BARRYMORE";"EEUU"
"DAN";"BENING";"EEUU"
"DAN";"BERGEN";"EEUU"
"DAN";"BERRY";"EEUU"
"DAN";"BULLOCK";"EEUU"
"DAN";"CAGE";"EEUU"
"DAN";"CHAPLIN";"EEUU"
"DAN";"DAVIS";"EEUU"
"DAN";"DEAN";"EEUU"
"DAN";"FAWCETT";"EEUU"
"DAN";"GIBSON";"EEUU"
"DAN";"HARRIS";"EEUU"
"DAN";"HURT";"EEUU"
"DAN";"JOHANSSON";"EEUU"
"DAN";"JOVOVICH";"EEUU"
"DAN";"RYDER";"EEUU"
"DARYL";"ALLEN";"EEUU"
"DARYL";"BERGEN";"EEUU"
"DARYL";"BERGMAN";"EEUU"
"DARYL";"BERRY";"EEUU"
"DARYL";"BRODY";"EEUU"
"DARYL";"BULLOCK";"EEUU"
"DARYL";"CAGE";"EEUU"
"DARYL";"CARREY";"EEUU"
"DARYL";"CHAPLIN";"EEUU"
"DARYL";"CHASE";"EEUU"
"DARYL";"COSTNER";"EEUU"
"DARYL";"CRAWFORD";"EEUU"
"DARYL";"CRUZ";"EEUU"
"DARYL";"DEAN";"EEUU"
"DARYL";"DEE";"EEUU"
"DARYL";"GUINESS";"EEUU"
"DARYL";"LEIGH";"EEUU"
"DARYL";"SILVERSTONE";"EEUU"
"DEBBIE";"AKROYD";"EEUU"
"DUSTIN";"ALLEN";"EEUU"
"DUSTIN";"BASINGER";"EEUU"
"DUSTIN";"CARREY";"EEUU"
"DUSTIN";"CHASE";"EEUU"
"DUSTIN";"CRONYN";"EEUU"
"DUSTIN";"DAY-LEWIS";"EEUU"
"DUSTIN";"HACKMAN";"EEUU"
"DUSTIN";"MALDEN";"EEUU"
"ED";"AKROYD";"EEUU"
"ED";"ALLEN";"EEUU"
"ED";"BAILEY";"EEUU"
"ED";"BALL";"EEUU"
"ED";"BASINGER";"EEUU"
"ED";"BENING";"EEUU"
"ED";"BERRY";"EEUU"
"ED";"BOLGER";"EEUU"
"ED";"BRODY";"EEUU"
"ED";"CHASE";"EEUU"
"ED";"COSTNER";"EEUU"
"ED";"DAVIS";"EEUU"
"ED";"DEE";"EEUU"
"ED";"DEGENERES";"EEUU"
"ED";"HOPKINS";"EEUU"
"ED";"KILMER";"EEUU"
"ED";"MANSFIELD";"EEUU"
"ELLEN";"BERRY";"EEUU"
"ELLEN";"BRODY";"EEUU"
"ELLEN";"CHASE";"EEUU"
"ELLEN";"CRUZ";"EEUU"
"ELLEN";"DEGENERES";"EEUU"
"ELLEN";"HOFFMAN";"EEUU"
"ELLEN";"HOPKINS";"EEUU"
"ELVIS";"BASINGER";"EEUU"
"ELVIS";"BENING";"EEUU"
"ELVIS";"BERGEN";"EEUU"
"ELVIS";"DAVIS";"EEUU"
"ELVIS";"DAY-LEWIS";"EEUU"
"ELVIS";"DEGENERES";"EEUU"
"EMILY";"BAILEY";"EEUU"
"EMILY";"DAY-LEWIS";"EEUU"
"EMILY";"DEE";"EEUU"
"EWAN";"ALLEN";"EEUU"
"EWAN";"CAGE";"EEUU"
"EWAN";"CHASE";"EEUU"
"EWAN";"DAVIS";"EEUU"
"EWAN";"DAY-LEWIS";"EEUU"
"EWAN";"DEAN";"EEUU"
"EWAN";"GOODING";"EEUU"
"FAY";"AKROYD";"EEUU"
"FAY";"ALLEN";"EEUU"
"FAY";"BALE";"EEUU"
"FAY";"BARRYMORE";"EEUU"
"FAY";"BERGMAN";"EEUU"
"FAY";"BOLGER";"EEUU"
"FAY";"CROWE";"EEUU"
"FAY";"DAMON";"EEUU"
"FAY";"DAVIS";"EEUU"
"FAY";"DEPP";"EEUU"
"FAY";"FAWCETT";"EEUU"
"FAY";"HOPPER";"EEUU"
"FAY";"KILMER";"EEUU"
"FAY";"LEIGH";"EEUU"
"FRANCES";"AKROYD";"EEUU"
"FRANCES";"BERGEN";"EEUU"
"FRANCES";"BLOOM";"EEUU"
"FRANCES";"BRODY";"EEUU"
"FRANCES";"CHASE";"EEUU"
"FRANCES";"COSTNER";"EEUU"
"FRANCES";"CRONYN";"EEUU"
"FRANCES";"DAY-LEWIS";"EEUU"
"FRANCES";"DENCH";"EEUU"
"FRANCES";"KILMER";"EEUU"
"FRED";"BLOOM";"EEUU"
"FRED";"BRODY";"EEUU"
"FRED";"CHASE";"EEUU"
"FRED";"COSTNER";"EEUU"
"GARY";"BACALL";"EEUU"
"GARY";"BAILEY";"EEUU"
"GARY";"BALL";"EEUU"
"GARY";"CHASE";"EEUU"
"GARY";"CRUISE";"EEUU"
"GARY";"DERN";"EEUU"
"GARY";"HACKMAN";"EEUU"
"GARY";"HESTON";"EEUU"
"GARY";"MCCONAUGHEY";"EEUU"
"GARY";"MONROE";"EEUU"
"GENE";"AKROYD";"EEUU"
"GENE";"ALLEN";"EEUU"
"GENE";"BAILEY";"EEUU"
"GENE";"DAMON";"EEUU"
"GENE";"DEGENERES";"EEUU"
"GENE";"GUINESS";"EEUU"
"GENE";"HACKMAN";"EEUU"
"GENE";"HOPKINS";"EEUU"
"GENE";"JACKMAN";"EEUU"
"GEOFFREY";"ALLEN";"EEUU"
"GEOFFREY";"BASINGER";"EEUU"
"GEOFFREY";"BOLGER";"EEUU"
"GEOFFREY";"HESTON";"EEUU"
"GINA";"BACALL";"EEUU"
"GINA";"BERGEN";"EEUU"
"GINA";"BERGMAN";"EEUU"
"GINA";"BERRY";"EEUU"
"GINA";"BOLGER";"EEUU"
"GINA";"CHAPLIN";"EEUU"
"GOLDIE";"BACALL";"EEUU"
"GOLDIE";"BRODY";"EEUU"
"GRACE";"BARRYMORE";"EEUU"
"GRACE";"BOLGER";"EEUU"
"GRACE";"GUINESS";"EEUU"
"GREG";"AKROYD";"EEUU"
"GREG";"ALLEN";"EEUU"
"GREG";"CHAPLIN";"EEUU"
"GREGORY";"BASINGER";"EEUU"
"GREGORY";"CRAWFORD";"EEUU"
"GREGORY";"DAVIS";"EEUU"
"GRETA";"BACALL";"EEUU"
"GRETA";"BARRYMORE";"EEUU"
"GRETA";"BASINGER";"EEUU"
"GRETA";"CARREY";"EEUU"
"GRETA";"GOLDBERG";"EEUU"
"GROUCHO";"AKROYD";"EEUU"
"GROUCHO";"ALLEN";"EEUU"
"GROUCHO";"BACALL";"EEUU"
"GROUCHO";"BALE";"EEUU"
"GROUCHO";"BOLGER";"EEUU"
"GROUCHO";"CAGE";"EEUU"
"GROUCHO";"CARREY";"EEUU"
"GROUCHO";"CRUZ";"EEUU"
"GROUCHO";"DAVIS";"EEUU"
"GROUCHO";"DUNST";"EEUU"
"HARRISON";"ALLEN";"EEUU"
"HARRISON";"BALE";"EEUU"
"HARVEY";"AKROYD";"EEUU"
"HARVEY";"HOPE";"EEUU"
"HELEN";"CRAWFORD";"EEUU"
"HENRY";"BERGMAN";"EEUU"
"HENRY";"BERRY";"EEUU"
"HUMPHREY";"BENING";"EEUU"
"HUMPHREY";"BERGMAN";"EEUU"
"HUMPHREY";"CHASE";"EEUU"
"HUMPHREY";"DAMON";"EEUU"
"HUMPHREY";"DEGENERES";"EEUU"
"HUMPHREY";"WILLIS";"EEUU"
"IAN";"BENING";"EEUU"
"IAN";"BERGEN";"EEUU"
"IAN";"BERGMAN";"EEUU"
"IAN";"DEGENERES";"EEUU"
"IAN";"GARLAND";"EEUU"
"IAN";"TANDY";"EEUU"
"JADA";"AKROYD";"EEUU"
"JADA";"ALLEN";"EEUU"
"JADA";"NOLTE";"EEUU"
"JADA";"RYDER";"EEUU"
"JAMES";"BERGMAN";"EEUU"
"JAMES";"BOLGER";"EEUU"
"JAMES";"KEITEL";"EEUU"
"JAMES";"KILMER";"EEUU"
"JANE";"AKROYD";"EEUU"
"JANE";"BRODY";"EEUU"
"JANE";"CRAWFORD";"EEUU"
"JAYNE";"AKROYD";"EEUU"
"JAYNE";"ALLEN";"EEUU"
"JAYNE";"BACALL";"EEUU"
"JAYNE";"CAGE";"EEUU"
"JAYNE";"DAMON";"EEUU"
"JAYNE";"HOFFMAN";"EEUU"
"JAYNE";"NEESON";"EEUU"
"JAYNE";"NOLTE";"EEUU"
"JEFF";"BERGEN";"EEUU"
"JEFF";"CRONYN";"EEUU"
"JEFF";"DEGENERES";"EEUU"
"JENNIFER";"DAVIS";"EEUU"
"JESSICA";"BAILEY";"EEUU"
"JIM";"BOLGER";"EEUU"
"JIM";"BRODY";"EEUU"
"JIM";"MOSTEL";"EEUU"
"JODIE";"BASINGER";"EEUU"
"JODIE";"CRUZ";"EEUU"
"JODIE";"DEGENERES";"EEUU"
"JOE";"BACALL";"EEUU"
"JOE";"BENING";"EEUU"
"JOHN";"CAGE";"EEUU"
"JOHNNY";"BENING";"EEUU"
"JOHNNY";"BOLGER";"EEUU"
"JOHNNY";"DAVIS";"EEUU"
"JON";"ALLEN";"EEUU"
"JON";"BOLGER";"EEUU"
"JUDE";"BERRY";"EEUU"
"JUDE";"CRUISE";"EEUU"
"JULIANNE";"ALLEN";"EEUU"
"KARL";"AKROYD";"EEUU"
"KARL";"BERRY";"EEUU"
"KENNETH";"BALL";"EEUU"
"KENNETH";"BOLGER";"EEUU"
"KENNETH";"CRAWFORD";"EEUU"
"KENNETH";"GARLAND";"EEUU"
"KEVIN";"BALL";"EEUU"
"KEVIN";"CARREY";"EEUU"
"KEVIN";"DEE";"EEUU"
"KIM";"ALLEN";"EEUU"
"KIRK";"GUINESS";"EEUU"
"KIRSTEN";"AKROYD";"EEUU"
"KIRSTEN";"KEITEL";"EEUU"
"LAURA";"BRODY";"EEUU"
"LAURENCE";"BULLOCK";"EEUU"
"LISA";"MONROE";"EEUU"
"LUCILLE";"BOLGER";"EEUU"
"LUCILLE";"GIBSON";"EEUU"
"LUCILLE";"GUINESS";"EEUU"
"LUCILLE";"HOFFMAN";"EEUU"
"MAE";"BASINGER";"EEUU"
"MAE";"CAGE";"EEUU"
"MARY";"CRONYN";"EEUU"
"MARY";"GUINESS";"EEUU"
"MARY";"HOFFMAN";"EEUU"
"MARY";"KEITEL";"EEUU"
"MATTHEW";"BERGEN";"EEUU"
"MATTHEW";"BOLGER";"EEUU"
"MATTHEW";"CARREY";"EEUU"
"MATTHEW";"HACKMAN";"EEUU"
"MATTHEW";"JOHANSSON";"EEUU"
"MATTHEW";"LEIGH";"EEUU"
"MENA";"BASINGER";"EEUU"
"MENA";"BOLGER";"EEUU"
"MENA";"DAVIS";"EEUU"
"MERYL";"GIBSON";"EEUU"
"MICHAEL";"BENING";"EEUU"
"MICHELLE";"MCCONAUGHEY";"EEUU"
"MILLA";"KEITEL";"EEUU"
"MINNIE";"DUKAKIS";"EEUU"
"MORGAN";"CROWE";"EEUU"
"NATALIE";"CRAWFORD";"EEUU"
"NICK";"PECK";"EEUU"
"OLYMPIA";"PFEIFFER";"EEUU"
"PARKER";"DERN";"EEUU"
"Pedro";"Almodovar";"España"
"PENELOPE";"CRONYN";"EEUU"
"RALPH";"CAGE";"EEUU"
"RALPH";"CRUZ";"EEUU"
"REESE";"KILMER";"EEUU"
"REESE";"WEST";"EEUU"
"RENEE";"BALL";"EEUU"
"RUSSELL";"BENING";"EEUU"
"SEAN";"HOFFMAN";"EEUU"
"SISSY";"SOBIESKI";"EEUU"
"Steven";"Spielberg";""
"TIM";"HACKMAN";"EEUU"
"UMA";"WOOD";"EEUU"
